RunTime,Database,BatchSize,Parallel,Comment,Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,19,../../data/meterdata/london/block_48.csv,24/04/2025 12:28:35 +02:00,24/04/2025 12:28:49 +02:00,14000,1592304,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,20,../../data/meterdata/london/block_74.csv,24/04/2025 12:28:49 +02:00,24/04/2025 12:29:02 +02:00,13000,1524096,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,21,../../data/meterdata/london/block_60.csv,24/04/2025 12:29:02 +02:00,24/04/2025 12:29:13 +02:00,11000,1362672,882
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,22,../../data/meterdata/london/block_61.csv,24/04/2025 12:29:13 +02:00,24/04/2025 12:29:26 +02:00,13000,1416048,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,23,../../data/meterdata/london/block_75.csv,24/04/2025 12:29:26 +02:00,24/04/2025 12:29:40 +02:00,14000,1554048,905
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,24,../../data/meterdata/london/block_49.csv,24/04/2025 12:29:40 +02:00,24/04/2025 12:29:53 +02:00,13000,1529808,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,25,../../data/meterdata/london/block_108.csv,24/04/2025 12:29:53 +02:00,24/04/2025 12:30:06 +02:00,13000,1579824,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,26,../../data/meterdata/london/block_12.csv,24/04/2025 12:30:06 +02:00,24/04/2025 12:30:19 +02:00,13000,1580688,882
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,27,../../data/meterdata/london/block_4.csv,24/04/2025 12:30:19 +02:00,24/04/2025 12:30:33 +02:00,14000,1463520,864
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,28,../../data/meterdata/london/block_5.csv,24/04/2025 12:30:33 +02:00,24/04/2025 12:30:47 +02:00,14000,1404816,869
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,29,../../data/meterdata/london/block_13.csv,24/04/2025 12:30:47 +02:00,24/04/2025 12:31:00 +02:00,13000,1563504,864
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,30,../../data/meterdata/london/block_109.csv,24/04/2025 12:31:00 +02:00,24/04/2025 12:31:13 +02:00,13000,1462752,846
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,31,../../data/meterdata/london/block_11.csv,24/04/2025 12:31:13 +02:00,24/04/2025 12:31:28 +02:00,15000,1553328,900
